file,size_kb,status
00-dedication.md,0.2,done
01-to-abu-al-ala.md,2.3,done
02-preface.md,21.0,done
03-luzumiyat-001-to-012.md,2.2,done
03-luzumiyat-013-to-024.md,2.2,done
03-luzumiyat-025-to-036.md,2.2,done
03-luzumiyat-037-to-048.md,2.3,done
03-luzumiyat-049-to-060.md,2.2,done
03-luzumiyat-061-to-072.md,2.3,done
03-luzumiyat-073-to-084.md,2.3,done
03-luzumiyat-085-to-096.md,2.3,done
03-luzumiyat-097-to-108.md,2.3,done
03-luzumiyat-109-to-120.md,2.3,done
03-luzumiyat-121-to-121.md,0.2,done
04-endnotes.md,16.6,done
