file,size_kb,status
00-foreword.md,1.0,done
01-i-walked-with-other-souls-in-pain.md,25.3,done
02-the-fight-to-work.md,15.2,done
03-the-hard-faced-woman-of-charity-square.md,16.6,done
04-the-house-in-kennedy-court.md,24.2,done
05-the-price-of-a-bed.md,12.2,done
06-the-black-plush-coat.md,27.6,done
07-knocking-at-the-gate.md,19.1,done
08-the-awful-business-of-the-door-handle.md,30.4,done
09-kitty-and-the-widow-who-drugged.md,12.2,done
10-a-very-gallant-gentleman.md,29.6,done
11-womanhood-in-extremis.md,27.6,done
12-a-word-to-the-well-fed.md,15.2,done
13-the-trap-of-the-institution.md,19.3,done
14-at-st-crispin-s.md,13.1,done
15-the-whole-conclusion-of-the-matter.md,14.7,done
16-endnotes.md,2.4,done
