file,size_kb,status
01-an-evening-at-mrs-aldwinkle-s.md,0.0,done
02-chapter-i.md,21.5,done
03-chapter-ii.md,16.2,done
04-chapter-iii.md,38.2,done
05-chapter-iv.md,18.7,done
06-chapter-v.md,11.9,done
07-chapter-vi.md,10.8,done
08-chapter-vii.md,18.8,done
09-chapter-viii.md,12.2,done
10-chapter-ix.md,4.9,done
11-fragments-from-the-autobiography-of-francis-chelifer.md,0.1,done
12-chapter-i.md,28.2,done
13-chapter-ii.md,15.5,done
14-chapter-iii.md,26.6,done
15-chapter-iv.md,5.6,todo
16-chapter-v.md,54.9,todo
17-chapter-vi.md,22.2,todo
18-chapter-vii.md,19.0,todo
19-the-loves-of-the-parallels.md,0.0,todo
20-chapter-i.md,22.5,todo
21-chapter-ii.md,5.4,todo
22-chapter-iii.md,14.7,todo
23-chapter-iv.md,7.4,todo
24-chapter-v.md,25.3,todo
25-chapter-vi.md,15.6,todo
26-chapter-vii.md,30.2,todo
27-chapter-viii.md,17.4,todo
28-chapter-ix.md,6.2,todo
29-chapter-x.md,9.9,todo
30-chapter-xi.md,7.8,todo
31-chapter-xii.md,9.3,todo
32-chapter-xiii.md,8.1,todo
33-the-journey.md,0.0,todo
34-chapter-i.md,24.5,todo
35-chapter-ii.md,9.2,todo
36-chapter-iii.md,10.5,todo
37-chapter-iv.md,11.2,todo
38-chapter-v.md,21.7,todo
39-chapter-vi.md,8.9,todo
40-chapter-vii.md,20.8,todo
41-chapter-viii.md,5.7,todo
42-chapter-ix.md,9.8,todo
43-conclusions.md,0.0,todo
44-chapter-i.md,19.0,todo
45-chapter-ii.md,12.9,todo
46-chapter-iii.md,11.5,todo
47-chapter-iv.md,35.3,todo
