file,size_kb,status
01-introduction.md,3.8,todo
02-preface.md,8.6,todo
03-part-1-frozen-ocean-1789.md,0.0,todo
04-1789-chapter-i.md,21.7,todo
05-1789-chapter-ii.md,16.0,todo
06-1789-chapter-iii.md,30.6,todo
07-1789-chapter-iv.md,24.8,todo
08-1789-chapter-v.md,24.0,todo
09-1789-chapter-vi.md,23.8,todo
10-1789-chapter-vii.md,41.7,todo
11-part-2-pacific-ocean-1793.md,0.0,todo
12-1793-chapter-i.md,21.3,todo
13-1793-chapter-ii.md,27.3,todo
14-1793-chapter-iii.md,34.2,todo
15-1793-chapter-iv.md,24.0,todo
16-1793-chapter-v.md,29.8,todo
17-1793-chapter-vi.md,32.0,todo
18-1793-chapter-vii.md,33.6,todo
19-1793-chapter-viii.md,40.8,todo
20-1793-chapter-ix.md,81.3,todo
21-1793-chapter-x.md,19.5,todo
22-1793-chapter-xi.md,27.8,todo
23-1793-chapter-xii.md,32.3,todo
24-1793-chapter-xiii.md,55.3,todo
25-appendix.md,0.1,todo
26-endnotes.md,6.1,todo
27-list-of-illustrations.md,0.1,todo
