file,size_kb,status
a-village-wedding.md,16.9,done
agnelette.md,19.4,done
david-and-goliath.md,22.0,done
death-and-resurrection.md,12.3,done
hunting-down-the-werewolf.md,15.9,done
ma-tre-magloire.md,17.2,done
my-lady-s-lady.md,17.8,done
the-anniversary.md,14.1,done
the-baron-de-mont-gobert.md,15.4,done
the-bedevilled-hair.md,17.9,done
the-black-wolf.md,18.9,done
the-boy-at-the-mill.md,17.5,done
the-dead-and-the-living.md,15.0,done
the-genius-of-evil.md,27.0,done
the-grand-master-of-his-highness-wolf-hounds.md,18.4,done
the-lord-of-vauparfond.md,13.1,done
the-pact-with-satan.md,18.5,done
the-seigneur-jean-and-the-sabot-maker.md,23.6,done
the-wolf-leader.md,17.1,done
thibault-s-last-wish.md,11.7,done
thibault-s-wishes.md,14.8,done
true-to-tryst.md,19.7,done
where-it-is-demonstrated-that-a-woman-never-speaks-more-eloquently-than-when-she-holds-her-tongue.md,23.4,done
who-mocquet-was-and-how-this-tale-became-known-to-the-narrator.md,43.3,done
wolves-in-the-sheep-fold.md,28.9,done
