file,size_kb,status
001-shapes-of-clay.md,0.0,todo
002-shapes-of-clay-dedication.md,0.2,todo
003-shapes-of-clay-preface.md,2.6,todo
004-the-passing-show.md,3.2,todo
005-elixir-vitae.md,1.7,todo
006-convalescent.md,1.7,todo
007-at-the-close-of-the-canvass.md,2.1,todo
008-novum-organum.md,0.3,todo
009-geotheos.md,1.1,todo
010-politics.md,0.3,todo
011-the-valley-of-dry-bones.md,1.4,todo
012-polyphemus.md,1.0,todo
013-in-defense.md,1.5,todo
014-invocation.md,3.9,todo
015-religion.md,0.4,todo
016-two-socialists.md,1.8,todo
017-a-morning-fancy.md,1.9,todo
018-visions-of-sin.md,1.0,todo
019-genius.md,1.5,todo
020-the-town-of-dae.md,4.5,todo
021-an-anarchist.md,0.9,todo
022-an-offer-of-marriage.md,2.6,todo
023-arma-virumque.md,0.4,todo
024-on-a-proposed-crematory.md,1.8,todo
025-a-demand.md,1.7,todo
026-the-weather-wight.md,3.4,todo
027-t-a-h.md,1.1,todo
028-my-monument.md,0.5,todo
029-mad.md,1.0,todo
030-for-coercion-of-colombia.md,1.3,todo
031-a-teagoing-admiral.md,1.4,todo
032-the-wooer.md,1.4,todo
033-silhouettes-of-orientals.md,1.2,todo
034-land-of-the-pilgrim-s-pride.md,2.6,todo
035-a-single-termer.md,0.6,todo
036-a-plague-of-asses.md,1.3,todo
037-in-cuba.md,1.5,todo
038-for-a-certain-critic.md,1.9,todo
039-to-a-summer-poet.md,0.9,todo
040-arthur-mcewen.md,0.4,todo
041-charles-and-peter.md,1.5,todo
042-contemplation.md,0.6,todo
043-the-golden-age.md,1.0,todo
044-a-prophet-of-peace.md,1.2,todo
045-an-unreformable-reformer.md,1.7,todo
046-the-word-way-in-panama.md,2.4,todo
047-the-jack-of-clubs.md,1.5,todo
048-a-naval-method.md,1.8,todo
049-another-aspirant.md,1.4,todo
050-a-learner.md,0.6,todo
051-to-bridget.md,0.8,todo
052-after-tennyson.md,1.0,todo
053-to-my-bird.md,0.8,todo
054-business.md,0.9,todo
055-a-possibility.md,0.6,todo
056-to-a-censor.md,2.9,todo
057-the-whole-world-kin.md,0.5,todo
058-a-future-conversation.md,1.8,todo
059-the-hesitating-veteran.md,2.3,todo
060-a-year-s-casualties.md,0.5,todo
061-inspiration.md,0.3,todo
062-to-day.md,0.8,todo
063-an-alibi.md,6.4,todo
064-a-meeting.md,1.4,todo
065-j-f-b.md,0.6,todo
066-the-dying-statesman.md,0.7,todo
067-the-death-of-grant.md,1.2,todo
068-the-fountain-refilled.md,3.7,todo
069-laus-lucis.md,1.1,todo
070-nanine.md,0.4,todo
071-technology.md,1.7,todo
072-a-reply-to-a-letter.md,2.3,todo
073-to-oscar-wilde.md,0.6,todo
074-born-leaders-of-men.md,0.8,todo
075-the-crime-of-1903.md,1.9,todo
076-for-expulsion.md,1.4,todo
077-judex-jocosus.md,0.6,todo
078-graft.md,0.4,todo
079-the-tale-of-a-crime.md,2.0,todo
080-to-the-bartholdi-statue.md,0.8,todo
081-an-unmerry-christmas.md,2.1,todo
082-an-inscription.md,0.3,todo
083-from-virginia-to-paris.md,0.9,todo
084-a-mute-inglorious-milton.md,0.7,todo
