file,size_kb,status
01-dedication.md,0.1,done
02-salaam.md,2.8,done
03-ever-to-be.md,1.1,done
04-upon-the-peak-of-sanneen.md,2.3,done
05-the-philistine.md,0.7,done
06-my-burnoose.md,0.7,done
07-a-spring-dirge.md,0.7,done
08-fardi-wa-nafli.md,2.1,done
09-adele.md,0.6,done
10-nectar-and-blood.md,2.0,done
11-resurrection.md,1.1,done
12-disarmed-desire.md,1.3,done
13-a-better-woe.md,0.5,done
14-the-first-and-last.md,1.0,done
15-in-the-meadow.md,0.4,done
16-o-sweet-sometime.md,1.2,done
17-a-bed-of-flame.md,0.5,done
18-the-sister-of-death.md,0.6,done
19-retribution.md,0.4,done
20-let-thine-eyes-whisper.md,0.3,done
21-lilatu-laili.md,1.0,done
22-midnight-mood.md,2.1,done
23-thy-smile.md,0.7,done
24-unadorned.md,0.7,done
25-dissolution.md,0.4,done
26-a-serenade.md,0.8,done
27-the-brass-bed.md,1.7,done
28-three-golden-threads.md,0.6,done
29-independent-blossoms.md,0.5,done
30-the-god-of-my-goddess.md,0.4,done
31-a-peasant-s-song.md,1.4,done
32-her-first-sorrow.md,0.7,done
33-a-nocturn.md,1.2,done
34-saada.md,0.9,done
35-stolen-salvias.md,0.7,done
36-jealousy.md,0.3,done
37-beneath-the-salvias.md,0.7,done
38-gone-with-the-swallows.md,0.9,done
39-to-the-sonnet.md,0.7,done
40-the-tomb-and-the-rose.md,0.5,done
41-rest.md,1.3,done
42-the-flatiron-and-the-ruins-of-palmyra.md,0.3,done
43-it-was-all-for-him.md,0.8,done
44-repentance.md,0.9,done
45-o-give-me-strength-to-take.md,1.0,done
46-near-the-cascades.md,1.8,done
47-onward-keep.md,0.8,done
48-allah-wa-ana.md,1.2,done
49-in-memory-of-e-m-el-k.md,1.7,done
50-to-abu-l-ala.md,0.7,done
51-the-towers-and-the-night.md,0.5,done
52-the-end-and-the-beginning.md,0.4,done
53-the-cataclysm.md,1.1,done
54-reflections.md,0.7,done
55-the-song-of-siva.md,0.8,done
56-the-fruits-of-death.md,0.6,done
57-constantinople.md,1.2,done
58-andalusia.md,2.6,done
59-in-the-palm-groves-of-memphis.md,5.8,done
60-prayer-in-the-desert.md,1.1,done
61-water-and-flowers.md,0.5,done
62-the-song-of-rain.md,1.1,done
63-the-house-of-night.md,2.1,done
64-after-reading-king-lear.md,0.7,done
65-the-wanderer.md,1.6,done
66-lebanus.md,4.9,done
67-the-pagan.md,1.1,done
68-the-lost-disciple.md,1.1,done
69-from-the-arabic.md,0.4,done
70-she-went-out-singing.md,0.5,done
71-hanem.md,1.1,done
72-o-freedom.md,1.1,done
73-the-road-of-make-believe.md,1.4,done
74-renunciation.md,0.5,done
75-a-sufi-song.md,0.5,done
76-the-two-brothers.md,1.0,done
77-god-of-the-distances-hear-us.md,3.8,done
78-badruddin.md,2.4,done
79-the-sufi.md,1.2,done
80-the-fugitive.md,4.6,done
81-a-chant-of-mystics.md,16.2,done
82-endnotes.md,0.6,done
