file,size_kb,status
01-lotus-world.md,18.3,done
02-lair-of-mano-nui.md,18.4,done
03-the-ancient-mariners.md,17.2,done
04-storm-menace.md,16.0,done
05-time-wrecked.md,16.8,done
06-loketh-the-useless.md,14.9,done
07-witches-meat.md,16.7,done
08-the-free-rovers.md,17.7,done
09-battle-test.md,17.6,done
10-death-at-kyn-add.md,16.9,done
11-weapon-from-the-depths.md,17.1,done
12-baldies.md,18.1,done
13-the-sea-gate-of-the-foanna.md,17.5,done
14-the-foanna.md,16.7,done
15-return-to-the-battle.md,17.9,done
16-the-opening-of-the-great-door.md,16.7,done
17-shades-against-shadow.md,17.0,done
18-world-in-doubt.md,22.1,done
