file,size_kb,status
01-perfumed-planet.md,21.4,done
02-rivals.md,19.5,done
03-contact-at-last.md,18.7,done
04-gorp-hunt.md,18.2,done
05-the-perilous-seas.md,18.1,done
06-duelist-s-challenge.md,18.8,done
07-barring-accident.md,19.1,done
08-headaches.md,19.1,done
09-plague.md,18.1,done
10-e-stat-landing.md,18.7,done
11-desperate-measures.md,18.9,done
12-strange-behavior-of-a-hoobat.md,18.9,done
13-off-the-map.md,18.0,done
14-special-mission.md,19.0,done
15-medic-hovan-reports.md,18.7,done
16-the-battle-of-the-video.md,17.2,done
17-in-custody.md,18.1,done
18-bargain-concluded.md,18.1,done
