file,size_kb,status
01-dedication.md,0.1,done
02-epigraph.md,0.3,done
03-the-ralestones-come-home.md,21.4,done
04-the-luck-of-the-lords-of-lorne.md,20.0,done
05-the-ralestones-entertain-an-unobtrusive-visitor.md,21.5,done
06-pistols-for-two-coffee-for-one.md,20.2,done
07-their-tenant-discovers-the-ralestones.md,19.9,done
08-satan-goes-a-hunting-and-finds-work-for-idle-hands.md,19.1,done
09-by-our-luck.md,19.0,done
10-great-uncle-rick-walks-the-hall.md,19.1,done
11-portrait-of-a-lady-and-a-gentleman.md,18.9,done
12-into-the-swamp.md,17.8,done
13-ralestones-to-the-rescue.md,18.3,done
14-the-ralestones-bring-home-a-reluctant-guest.md,16.6,done
15-on-such-a-night-as-this.md,20.1,done
16-pirate-ways-are-hidden-ways.md,19.4,done
17-pieces-of-eight-ralestones-fate.md,13.0,done
18-ralestones-stand-together.md,19.5,done
19-the-return-of-rick-ralestone.md,18.6,done
20-rupert-brings-home-his-marchioness.md,8.7,done
