file,size_kb,status
01-disaster.md,18.8,done
02-death-of-a-ship.md,19.1,done
03-to-close-ranks.md,17.5,done
04-sortie.md,19.3,done
05-pursuit.md,18.9,done
06-the-hound.md,18.5,done
07-unwelcome-guide.md,19.1,done
08-utgard.md,18.5,done
09-one-alone.md,18.6,done
10-a-trap-for-a-trapper.md,20.4,done
11-the-witch.md,19.8,done
12-the-veil-of-illusion.md,18.7,done
13-he-who-dreams.md,18.9,done
14-escape.md,19.3,done
15-dragon-slayer.md,18.9,done
16-third-prisoner.md,19.3,done
17-throg-justice.md,18.0,done
18-storm-s-ending.md,20.0,done
