file,size_kb,status
00-dedication.md,0.0,todo
01-i.md,20.3,todo
02-ii.md,11.2,todo
03-iii.md,8.6,todo
04-iv.md,7.6,todo
05-v.md,12.0,todo
06-vi.md,12.3,todo
07-vii.md,14.8,todo
08-viii.md,9.5,todo
09-ix.md,10.9,todo
10-x.md,15.9,todo
11-xi.md,11.2,todo
12-xii.md,9.2,todo
13-xiii.md,11.6,todo
14-xiv.md,15.3,todo
15-xv.md,13.3,todo
16-xvi.md,15.3,todo
17-xvii.md,16.3,todo
18-xviii.md,13.0,todo
19-xix.md,14.3,todo
20-xx.md,14.4,todo
21-xxi.md,8.1,todo
22-xxii.md,13.6,todo
23-xxiii.md,17.8,todo
24-xxiv.md,16.1,todo
25-xxv.md,9.9,todo
26-xxvi.md,13.2,todo
27-xxvii.md,16.9,todo
28-xxviii.md,14.5,todo
29-xxix.md,11.5,todo
30-xxx.md,9.9,todo
31-xxxi.md,8.6,todo
32-xxxii.md,8.6,todo
33-xxxiii.md,6.9,todo
