file,size_kb,status
01-preface.md,5.8,todo
02-names-of-persons.md,1.1,todo
03-names-of-places.md,2.6,todo
04-how-hagen-was-carried-off-by-the-griffin.md,18.5,todo
05-how-hagen-slew-the-griffin.md,13.4,todo
06-how-hagen-sailed-to-his-home.md,10.6,todo
07-how-hagen-was-met-by-his-father-and-mother.md,14.7,todo
08-how-w-te-was-sent-to-ireland-as-a-suitor.md,46.0,todo
09-how-sweetly-horant-sang.md,19.0,todo
10-how-the-maidens-came-to-see-the-ship-and-were-carried-to-hettel-s-kingdom.md,13.1,todo
11-how-hagen-followed-his-daughter.md,20.9,todo
12-how-gudrun-was-sought-by-siegfried.md,6.6,todo
13-how-hartmut-sent-to-woo-gudrun.md,8.4,todo
14-how-herwic-sent-to-seek-gudrun-and-how-hartmut-came-himself.md,3.8,todo
15-how-herwic-made-war-on-hettel-and-how-gudrun-was-betrothed-to-him.md,10.5,todo
16-how-siegfried-made-war-against-herwic.md,15.6,todo
17-how-hettel-sent-tidings-from-herwic-s-land.md,7.9,todo
18-how-hartmut-carried-away-gudrun.md,15.9,todo
19-how-hilda-sent-to-hettel-and-herwic-to-ask-their-help-against-hartmut.md,10.5,todo
20-how-hettel-came-to-the-wulpensand-in-search-of-his-daughter.md,9.2,todo
21-how-ludwig-slew-hettel-and-stole-away-in-the-night.md,10.9,todo
22-how-the-hegelings-went-home-to-their-own-land.md,9.0,todo
23-how-hartmut-went-home-to-normandy.md,24.8,todo
24-how-gudrun-must-wash-clothes-on-the-beach.md,8.3,todo
25-how-hilda-made-war-to-bring-back-her-daughter.md,19.5,todo
26-how-hilda-s-warriors-landed-in-sight-of-hartmut-s-kingdom.md,6.5,todo
27-how-their-coming-was-made-known-to-gudrun.md,11.8,todo
28-how-herwic-and-ortwin-found-gudrun.md,35.5,todo
29-how-the-hegelings-landed-near-ludwig-s-castle.md,8.7,todo
30-how-ludwig-and-hartmut-met-the-hegelings.md,20.4,todo
31-how-herwic-slew-ludwig.md,14.7,todo
32-how-hartmut-was-taken-prisoner.md,18.4,todo
33-how-gudrun-was-brought-home-to-hilda.md,29.2,todo
34-how-the-four-kings-were-wedded-in-hilda-s-land.md,8.0,todo
35-how-they-all-went-to-their-homes.md,3.0,todo
