file,size_kb,status
01-dr-wortle.md,17.2,done
02-the-new-usher.md,17.0,done
03-the-mystery.md,17.2,done
04-the-doctor-asks-his-question.md,16.3,done
05-then-we-must-go.md,15.6,done
06-lord-carstairs.md,16.8,done
07-robert-lefroy.md,16.4,done
08-the-story-is-told.md,15.7,done
09-mrs-wortle-and-mr-puddicombe.md,16.7,done
10-mr-peacocke-goes.md,16.4,done
11-the-bishop.md,16.9,done
12-the-stantiloup-correspondence.md,18.5,done
13-mr-puddicombe-s-boot.md,18.7,done
14-everybody-s-business.md,18.5,done
15-amo-in-the-cool-of-the-evening.md,17.6,done
16-it-is-impossible.md,17.2,done
17-correspondence-with-the-palace.md,15.4,done
18-the-journey.md,18.0,done
19-nobody-has-condemned-you-here.md,17.4,done
20-lord-bracy-s-letter.md,16.6,done
21-at-chicago.md,16.8,done
22-the-doctor-s-answer.md,17.3,done
23-mr-peacocke-s-return.md,17.5,done
24-mary-s-success.md,16.2,done
