file,size_kb,status
01-the-ray-family.md,26.7,done
02-the-young-man-from-the-brewery.md,20.1,done
03-the-arm-in-the-clouds.md,34.8,done
04-what-shall-be-done-about-it.md,24.0,done
05-mr-comfort-gives-his-advice.md,25.2,done
06-preparations-for-mrs-tappitt-s-party.md,28.0,done
07-an-account-of-mrs-tappitt-s-ball-commenced.md,26.3,done
08-an-account-of-mrs-tappitt-s-ball-concluded.md,27.4,done
09-mr-prong-at-home.md,25.1,done
10-luke-rowan-declares-his-plans-as-to-the-brewery.md,23.5,done
11-luke-rowan-takes-his-tea-quite-like-a-steady-young-man.md,25.0,done
12-rachel-ray-thinks-she-does-like-him.md,23.5,done
13-mr-tappitt-in-his-countinghouse.md,27.0,done
14-luke-rowan-pays-a-second-visit-to-bragg-s-end.md,27.4,done
15-maternal-eloquence.md,25.4,done
16-rachel-ray-s-first-love-letter.md,16.4,done
17-electioneering.md,31.0,done
18-dr-harford.md,25.9,done
19-mr-comfort-calls-at-the-cottage.md,25.8,done
20-showing-what-rachel-ray-thought-when-she-sat-on-the-stile-and-how-she-wrote-her.md,29.4,done
21-mrs-ray-goes-to-exeter-and-meets-a-friend.md,30.0,done
22-domestic-politics-at-the-brewery.md,25.7,done
23-mrs-ray-s-penitence.md,29.0,done
24-the-election-at-baslehurst.md,29.6,done
25-the-baslehurst-gazette.md,15.3,done
26-cornbury-grange.md,25.0,done
27-in-which-the-question-of-the-brewery-is-settled.md,32.9,done
28-what-took-place-at-bragg-s-end-farm.md,26.5,done
29-mrs-prime-reads-her-recantation.md,20.7,done
30-conclusion.md,15.5,done
