file,size_kb,status
01-dillsborough.md,15.5,todo
02-the-morton-family.md,14.1,todo
03-the-masters-family.md,14.0,todo
04-the-dillsborough-club.md,11.9,todo
05-reginald-morton.md,14.3,todo
06-not-in-love.md,13.6,todo
07-the-walk-home.md,10.2,todo
08-the-paragon-s-party-at-bragton.md,14.6,todo
09-the-old-kennels.md,15.0,todo
10-goarly-s-revenge.md,15.4,todo
11-from-impington-gorse.md,14.6,todo
12-arabella-trefoil.md,14.4,todo
13-at-bragton.md,13.2,todo
14-the-dillsborough-feud.md,14.5,todo
15-a-fit-companion-for-me-and-my-sisters.md,10.4,todo
16-mr-gotobed-s-philanthropy.md,14.6,todo
17-lord-rufford-s-invitation.md,14.5,todo
18-the-attorney-s-family-is-disturbed.md,14.4,todo
19-who-valued-the-geese.md,14.8,todo
20-there-are-convenances.md,11.1,todo
21-the-first-evening-at-rufford-hall.md,14.5,todo
22-jemima.md,13.8,todo
23-poor-caneback.md,12.1,todo
24-the-ball.md,14.6,todo
25-the-last-morning-at-rufford-hall.md,13.8,todo
26-give-me-six-months.md,14.8,todo
27-wonderful-bird.md,15.0,todo
28-mounser-green.md,10.8,todo
29-the-senator-s-letter.md,14.6,todo
30-at-cheltenham.md,14.9,todo
31-the-rufford-correspondence.md,14.6,todo
32-it-is-a-long-way.md,14.0,todo
33-the-beginning-of-persecution.md,14.1,todo
34-mary-s-letter.md,11.2,todo
35-chowton-farm-for-sale.md,12.8,todo
36-mistletoe.md,13.1,todo
37-how-things-were-arranged.md,10.8,todo
38-you-are-so-severe.md,14.8,todo
39-the-day-at-peltry.md,16.0,todo
40-lord-rufford-wants-to-see-a-horse.md,15.2,todo
41-the-senator-is-badly-treated.md,15.7,todo
42-mr-mainwaring-s-little-dinner.md,13.0,todo
43-persecution.md,15.5,todo
44-particularly-proud-of-you.md,14.6,todo
45-lord-rufford-makes-up-his-mind.md,14.3,todo
46-it-cannot-be-arranged.md,11.9,todo
47-but-there-is-some-one.md,14.0,todo
48-the-dinner-at-the-bush.md,14.4,todo
49-miss-trefoil-s-decision.md,14.2,todo
50-in-these-days-one-can-t-make-a-man-marry.md,13.7,todo
51-the-senator-s-second-letter.md,21.1,todo
52-providence-interferes.md,9.9,todo
53-lady-ushant-at-bragton.md,11.6,todo
54-arabella-again-at-bragton.md,14.5,todo
55-i-have-told-him-everything.md,13.4,todo
56-now-what-have-you-got-to-say.md,15.0,todo
57-mrs-morton-returns.md,15.9,todo
58-the-two-old-ladies.md,14.9,todo
59-the-last-effort.md,14.2,todo
60-again-at-mistletoe.md,10.8,todo
61-the-success-of-lady-augustus.md,13.9,todo
62-we-shall-kill-each-other.md,15.2,todo
63-changes-at-bragton.md,14.9,todo
64-the-will.md,14.9,todo
65-the-new-minister.md,11.1,todo
66-i-must-go.md,13.6,todo
67-in-the-park.md,15.4,todo
68-lord-rufford-s-model-farm.md,14.1,todo
69-scrobby-s-trial.md,11.8,todo
70-at-last.md,14.3,todo
71-my-own-own-husband.md,14.2,todo
72-bid-him-be-a-man.md,14.1,todo
73-is-it-tanti.md,16.0,todo
74-benedict.md,11.5,todo
75-arabella-s-success.md,14.2,todo
76-the-wedding.md,14.2,todo
77-the-senator-s-lecture-no-i.md,15.4,todo
78-the-senator-s-lecture-no-ii.md,14.6,todo
79-the-last-days-of-mary-masters.md,14.4,todo
80-conclusion.md,10.6,todo
