file,size_kb,status
01-julia-brabazon.md,16.3,todo
02-harry-clavering-chooses-his-profession.md,28.5,todo
03-lord-ongar.md,22.4,todo
04-florence-burton.md,23.2,todo
05-lady-ongar-s-return.md,23.6,todo
06-the-rev-samuel-saul.md,21.7,todo
07-some-scenes-in-the-life-of-a-countess.md,24.8,todo
08-the-house-in-onslow-crescent.md,22.5,todo
09-too-prudent-by-half.md,21.3,todo
10-florence-burton-at-the-rectory.md,22.6,todo
11-sir-hugh-and-his-brother-archie.md,28.7,todo
12-lady-ongar-takes-possession.md,17.4,todo
13-a-visitor-calls-at-ongar-park.md,17.1,todo
14-count-pateroff-and-his-sister.md,22.9,todo
15-an-evening-in-bolton-street.md,28.2,todo
16-the-rivals.md,23.5,todo
17-let-her-know-that-you-re-there.md,21.1,todo
18-captain-clavering-makes-his-first-attempt.md,24.7,todo
19-the-blue-posts.md,23.2,todo
20-desolation.md,22.8,todo
21-yes-wrong-certainly-wrong.md,21.7,todo
22-the-day-of-the-funeral.md,22.8,todo
23-cumberly-lane-without-the-mud.md,16.7,todo
24-the-russian-spy.md,29.2,todo
25-what-would-men-say-of-you.md,22.1,todo
26-the-man-who-dusted-his-boots-with-his-handkerchief.md,20.5,todo
27-freshwater-gate.md,25.7,todo
28-what-cecilia-burton-did-for-her-sister-in-law.md,26.9,todo
29-how-damon-parted-from-pythias.md,17.1,todo
30-doodles-in-mount-street.md,24.4,todo
31-harry-clavering-s-confession.md,19.6,todo
32-florence-burton-packs-up-a-packet.md,24.0,todo
33-showing-why-harry-clavering-was-wanted-at-the-rectory.md,25.1,todo
34-mr-saul-s-abode.md,22.2,todo
35-parting.md,24.0,todo
36-captain-clavering-makes-his-last-attempt.md,20.9,todo
37-what-lady-ongar-thought-about-it.md,23.6,todo
38-how-to-dispose-of-a-wife.md,16.9,todo
39-farewell-to-doodles.md,28.0,todo
40-showing-how-mrs-burton-fought-her-battle.md,19.0,todo
41-the-sheep-returns-to-the-fold.md,23.6,todo
42-restitution.md,24.3,todo
43-lady-ongar-s-revenge.md,19.2,todo
44-showing-what-happened-off-heligoland.md,29.5,todo
45-is-she-mad.md,20.7,todo
46-madame-gordeloup-retires-from-british-diplomacy.md,23.3,todo
47-showing-how-things-settled-themselves-at-the-rectory.md,26.1,todo
48-conclusion.md,19.0,todo
