file,size_kb,status
01-when-the-duchess-was-dead.md,16.5,todo
02-lady-mary-palliser.md,19.6,todo
03-francis-oliphant-tregear.md,13.4,todo
04-park-lane.md,14.5,todo
05-it-is-impossible.md,20.8,todo
06-major-tifto.md,15.9,todo
07-conservative-convictions.md,14.5,todo
08-he-is-a-gentleman.md,14.8,todo
09-in-medias-res.md,17.4,todo
10-why-not-like-romeo-if-i-feel-like-romeo.md,12.3,todo
11-cruel.md,14.0,todo
12-at-richmond.md,15.6,todo
13-the-duke-s-injustice.md,7.2,todo
14-the-new-member-for-silverbridge.md,19.2,todo
15-the-duke-receives-a-letter-and-writes-one.md,18.1,todo
16-poor-boy.md,11.5,todo
17-the-derby.md,18.0,todo
18-one-of-the-results-of-the-derby.md,14.2,todo
19-no-my-lord-i-do-not.md,13.4,todo
20-then-he-will-come-again.md,14.8,todo
21-sir-timothy-beeswax.md,11.4,todo
22-the-duke-in-his-study.md,20.1,todo
23-frank-tregear-wants-a-friend.md,12.3,todo
24-she-must-be-made-to-obey.md,14.0,todo
25-a-family-breakfast-table.md,15.1,todo
26-dinner-at-the-beargarden.md,22.0,todo
27-major-tifto-and-the-duke.md,9.5,todo
28-mrs-montacute-jones-s-garden-party.md,17.0,todo
29-the-lovers-meet.md,14.1,todo
30-what-came-of-the-meeting.md,13.6,todo
31-miss-boncassen-s-river-party-no-1.md,16.2,todo
32-miss-boncassen-s-river-party-no-2.md,17.1,todo
33-the-langham-hotel.md,18.7,todo
34-lord-popplecourt.md,12.1,todo
35-don-t-you-think.md,17.7,todo
36-tallyho-lodge.md,10.5,todo
37-grex.md,13.6,todo
38-crummie-toddie.md,13.8,todo
39-killancodlem.md,17.2,todo
40-and-then.md,16.6,todo
41-ischl.md,17.8,todo
42-again-at-killancodlem.md,14.9,todo
43-what-happened-at-doncaster.md,13.6,todo
44-how-it-was-done.md,13.0,todo
45-there-shall-not-be-another-word-about-it.md,17.2,todo
46-lady-mary-s-dream.md,15.7,todo
47-miss-boncassen-s-idea-of-heaven.md,14.2,todo
48-the-party-at-custins-is-broken-up.md,12.3,todo
49-the-major-s-fate.md,9.4,todo
50-the-duke-s-arguments.md,14.7,todo
51-the-duke-s-guests.md,11.3,todo
52-miss-boncassen-tells-the-truth.md,18.7,todo
53-then-i-am-as-proud-as-a-queen.md,18.5,todo
54-i-don-t-think-she-is-a-snake.md,13.3,todo
55-polpenno.md,18.3,todo
56-the-news-is-sent-to-matching.md,9.7,todo
57-the-meeting-at-the-bobtailed-fox.md,12.9,todo
58-the-major-is-deposed.md,11.8,todo
59-no-one-can-tell-what-may-come-to-pass.md,24.8,todo
60-lord-gerald-in-further-trouble.md,9.8,todo
61-bone-of-my-bone.md,18.6,todo
62-the-brake-country.md,19.6,todo
63-i-ve-seen-em-like-that-before.md,13.4,todo
64-i-believe-him-to-be-a-worthy-young-man.md,10.8,todo
65-do-you-ever-think-what-money-is.md,13.8,todo
66-the-three-attacks.md,16.4,todo
67-he-is-such-a-beast.md,10.7,todo
68-brook-street.md,17.0,todo
69-pert-poppet.md,12.7,todo
70-love-may-be-a-great-misfortune.md,13.0,todo
71-what-am-i-to-say-sir.md,16.8,todo
72-carlton-terrace.md,16.4,todo
73-i-have-never-loved-you.md,14.3,todo
74-let-us-drink-a-glass-of-wine-together.md,17.6,todo
75-the-major-s-story.md,11.2,todo
76-on-deportment.md,12.6,todo
77-mabel-goodbye.md,25.3,todo
78-the-duke-returns-to-office.md,12.4,todo
79-the-first-wedding.md,12.8,todo
80-the-second-wedding.md,5.7,todo
