file,size_kb,status
01-the-squire-of-allington.md,18.9,todo
02-the-two-pearls-of-allington.md,25.7,todo
03-the-widow-dale-of-allington.md,23.7,todo
04-mrs-roper-s-boardinghouse.md,22.5,todo
05-about-l-d.md,17.0,todo
06-beautiful-days.md,28.1,todo
07-the-beginning-of-troubles.md,27.3,todo
08-it-cannot-be.md,16.6,todo
09-mrs-dale-s-little-party.md,28.0,todo
10-mrs-lupex-and-amelia-roper.md,19.2,todo
11-social-life.md,15.7,todo
12-lilian-dale-becomes-a-butterfly.md,34.1,todo
13-a-visit-to-guestwick.md,22.3,todo
14-john-eames-takes-a-walk.md,16.0,todo
15-the-last-day.md,26.7,todo
16-mr-crosbie-meets-an-old-clergyman-on-his-way-to-courcy-castle.md,14.2,todo
17-courcy-castle.md,33.5,todo
18-lily-dale-s-first-love-letter.md,18.9,todo
19-the-squire-makes-a-visit-to-the-small-house.md,21.4,todo
20-dr-crofts.md,17.2,todo
21-john-eames-encounters-two-adventures-and-displays-great-courage-in-both.md,29.3,todo
22-lord-de-guest-at-home.md,19.5,todo
23-mr-plantagenet-palliser.md,40.3,todo
24-a-mother-in-law-and-a-father-in-law.md,11.2,todo
25-adolphus-crosbie-spends-an-evening-at-his-club.md,22.1,todo
26-lord-de-courcy-in-the-bosom-of-his-family.md,20.6,todo
27-on-my-honour-i-do-not-understand-it.md,24.3,todo
28-the-board.md,25.1,todo
29-john-eames-returns-to-burton-crescent.md,20.0,todo
30-is-it-from-him.md,24.0,todo
31-the-wounded-fawn.md,21.1,todo
32-pawkins-s-in-jermyn-street.md,20.5,todo
33-the-time-will-come.md,24.9,todo
34-the-combat.md,17.6,todo
35-vae-victis.md,26.1,todo
36-see-the-conquering-hero-comes.md,26.3,todo
37-an-old-man-s-complaint.md,16.0,todo
38-doctor-crofts-is-called-in.md,24.8,todo
39-dr-crofts-is-turned-out.md,26.0,todo
40-preparations-for-the-wedding.md,32.5,todo
41-domestic-troubles.md,18.3,todo
42-lily-s-bedside.md,18.8,todo
43-fie-fie.md,25.8,todo
44-valentine-s-day-at-allington.md,18.2,todo
45-valentine-s-day-in-london.md,26.4,todo
46-john-eames-at-his-office.md,27.2,todo
47-the-new-private-secretary.md,18.7,todo
48-nemesis.md,24.8,todo
49-preparations-for-going.md,23.1,todo
50-mrs-dale-is-thankful-for-a-good-thing.md,17.2,todo
51-john-eames-does-things-which-he-ought-not-to-have-done.md,29.6,todo
52-the-first-visit-to-the-guestwick-bridge.md,23.3,todo
53-loquitur-hopkins.md,20.4,todo
54-the-second-visit-to-the-guestwick-bridge.md,24.9,todo
55-not-very-fie-fie-after-all.md,30.6,todo
56-showing-how-mr-crosbie-became-again-a-happy-man.md,18.4,todo
57-lilian-dale-vanquishes-her-mother.md,20.6,todo
58-the-fate-of-the-small-house.md,20.6,todo
59-john-eames-becomes-a-man.md,23.3,todo
60-conclusion.md,23.6,todo
