file,size_kb,status
00-dedication.md,0.2,done
00-epigraph.md,0.2,done
01-a-day-at-a-time.md,7.6,done
02-god-in-the-wheels.md,6.6,done
03-a-triple-best.md,8.1,done
04-finical-farming.md,6.6,done
05-the-doctor.md,6.7,done
06-well-and-now.md,5.8,done
07-the-washen-face-in-war-time.md,7.3,done
08-the-real-martha.md,7.5,done
09-our-unearned-increment.md,6.9,done
10-smoking-wicks.md,5.4,done
11-culpable-goodness.md,6.3,done
12-a-khaki-virtue.md,5.8,done
13-the-overcoming-of-panic.md,6.3,done
14-the-day-s-darg.md,7.2,done
15-gashmu-the-gossip.md,7.6,done
16-god-in-front.md,8.0,done
17-unbelief-kept-quiet.md,6.5,done
18-the-equipment-of-joy.md,7.1,done
19-the-god-of-the-unlovable-man.md,7.0,done
20-under-the-juniper-tree.md,5.6,done
21-instructing-the-cabin-boy.md,6.6,done
22-god-s-door-of-hope.md,5.4,done
23-now-a-days.md,8.7,done
24-roundabout-roads.md,6.0,done
25-the-extravagance-of-love.md,6.6,done
26-the-art-of-doing-without.md,6.9,done
27-wonder.md,7.4,done
28-the-fatherhood-of-god.md,8.1,done
29-the-unreturning-brave.md,7.7,done
30-the-sacrament-of-sunset.md,5.8,done
31-endnotes.md,0.2,done
