file,size_kb,status
01-the-millionaire-and-the-waiter.md,16.5,done
02-how-mr-racksole-obtained-his-dinner.md,13.4,done
03-at-three-a-m.md,18.6,done
04-entrance-of-the-prince.md,10.0,done
05-what-occurred-to-reginald-dimmock.md,12.8,done
06-in-the-gold-room.md,11.4,done
07-nella-and-the-prince.md,11.7,done
08-arrival-and-departure-of-the-baroness.md,12.5,done
09-two-women-and-the-revolver.md,11.9,done
10-at-sea.md,13.3,done
11-the-court-pawnbroker.md,14.2,done
12-rocco-and-room-no-111.md,11.7,done
13-in-the-state-bedroom.md,7.2,done
14-rocco-answers-some-questions.md,15.2,done
15-end-of-the-yacht-adventure.md,13.0,done
16-the-woman-with-the-red-hat.md,16.8,done
17-the-release-of-prince-eugen.md,12.2,done
18-in-the-nighttime.md,12.4,done
19-royalty-at-the-grand-babylon.md,12.8,done
20-mr-sampson-levi-bids-prince-eugen-good-morning.md,12.6,done
21-the-return-of-f-lix-babylon.md,14.7,done
22-in-the-wine-cellars-of-the-grand-babylon.md,13.0,done
23-further-events-in-the-cellar.md,11.5,done
24-the-bottle-of-wine.md,10.8,done
25-the-steam-launch.md,15.1,done
26-the-night-chase-and-the-mudlark.md,9.7,done
27-the-confession-of-mr-tom-jackson.md,16.3,done
28-the-state-bedroom-once-more.md,11.3,done
29-theodore-is-called-to-the-rescue.md,12.9,done
30-conclusion.md,9.1,done
