file,size_kb,status
01-dedication.md,0.0,done
02-preface.md,3.6,done
03-introductory.md,27.7,done
04-apprehension-versus-comprehension.md,25.5,done
05-children-s-reading-i.md,25.8,done
06-children-s-reading-ii.md,29.9,done
07-on-reading-for-examinations.md,31.7,done
08-on-a-school-of-english.md,30.4,done
09-the-value-of-greek-and-latin-in-english-literature.md,29.9,done
10-on-reading-the-bible-i.md,29.1,done
11-on-reading-the-bible-ii.md,25.0,done
12-on-reading-the-bible-iii.md,35.5,done
13-of-selection.md,25.1,done
14-on-the-use-of-masterpieces.md,28.9,done
15-endnotes.md,4.3,done
