file,size_kb,status
01-i.md,13.5,todo
02-ii.md,13.9,todo
03-iii.md,9.5,todo
04-iv.md,10.0,todo
05-v.md,23.3,todo
06-vi.md,4.7,todo
07-vii.md,22.4,todo
08-viii.md,18.2,todo
09-ix.md,8.4,todo
10-x.md,14.4,todo
11-xi.md,3.4,todo
12-xii.md,26.7,todo
13-xiii.md,5.4,todo
14-xiv.md,10.0,todo
15-xv.md,5.9,todo
16-xvi.md,8.2,todo
17-xvii.md,30.0,todo
18-xviii.md,11.6,todo
19-xix.md,19.5,todo
20-xx.md,20.2,todo
21-xxi.md,16.5,todo
22-xxii.md,5.5,todo
23-xxiii.md,13.2,todo
24-xxiv.md,18.0,todo
25-xxv.md,19.6,todo
26-xxvi.md,7.9,todo
27-xxvii.md,7.3,todo
28-xxviii.md,7.2,todo
29-xxix.md,18.1,todo
30-xxx.md,6.0,todo
31-xxxi.md,3.3,todo
32-xxxii.md,17.4,todo
33-xxxiii.md,5.7,todo
34-xxxiv.md,5.8,todo
35-xxxv.md,30.3,todo
36-xxxvi.md,13.4,todo
37-xxxvii.md,13.3,todo
38-xxxviii.md,6.9,todo
39-xxxix.md,3.9,todo
