file,size_kb,status
chapter-1.md,12.0,todo
chapter-2.md,9.1,todo
chapter-3.md,17.6,todo
chapter-4.md,19.8,todo
chapter-5.md,9.1,todo
chapter-6.md,18.2,todo
chapter-7.md,7.8,todo
chapter-8.md,6.5,todo
chapter-9.md,13.7,todo
chapter-10.md,9.5,todo
chapter-11.md,17.5,todo
chapter-12.md,26.0,todo
chapter-13.md,6.4,todo
chapter-14.md,16.3,todo
chapter-15.md,13.1,todo
chapter-16.md,10.8,todo
chapter-17.md,17.7,todo
chapter-18.md,18.7,todo
chapter-19.md,10.7,todo
chapter-20.md,8.9,todo
chapter-21.md,7.6,todo
chapter-22.md,22.8,todo
chapter-23.md,21.7,todo
chapter-24.md,16.0,todo
chapter-25.md,20.9,todo
chapter-26.md,20.9,todo
chapter-27.md,5.0,todo
chapter-28.md,15.0,todo
chapter-29.md,13.6,todo
chapter-30.md,12.8,todo
chapter-31.md,14.4,todo
chapter-32.md,14.9,todo
chapter-33.md,14.1,todo
chapter-34.md,10.3,todo
chapter-35.md,7.9,todo
dedication.md,0.1,todo
