file,size_kb,status
chapter-1.md,6.6,todo
chapter-2.md,28.0,todo
chapter-3.md,15.2,todo
chapter-4.md,19.2,todo
chapter-5.md,23.3,todo
chapter-6.md,17.0,todo
chapter-7.md,12.3,todo
chapter-8.md,18.6,todo
chapter-9.md,18.5,todo
chapter-10.md,23.5,todo
chapter-11.md,11.4,todo
chapter-12.md,7.3,todo
chapter-13.md,14.9,todo
chapter-14.md,5.6,todo
chapter-15.md,26.6,todo
chapter-16.md,19.7,todo
chapter-17.md,13.9,todo
chapter-18.md,9.3,todo
chapter-19.md,13.1,todo
chapter-20.md,15.5,todo
chapter-21.md,10.3,todo
chapter-22.md,8.9,todo
chapter-23.md,16.6,todo
chapter-24.md,20.4,todo
chapter-25.md,22.3,todo
chapter-26.md,14.0,todo
chapter-27.md,8.1,todo
chapter-28.md,7.4,todo
chapter-29.md,15.1,todo
chapter-30.md,10.9,todo
chapter-31.md,15.7,todo
chapter-32.md,11.9,todo
chapter-33.md,11.0,todo
chapter-34.md,31.9,todo
