file,size_kb,status
the-story-of-a-fierce-bad-rabbit.md,0.8,done
the-story-of-miss-moppet.md,1.2,done
the-tailor-of-gloucester.md,16.3,done
the-tale-of-benjamin-bunny.md,6.4,done
the-tale-of-ginger-and-pickles.md,6.7,done
the-tale-of-jemima-puddle-duck.md,7.1,done
the-tale-of-johnny-town-mouse.md,7.2,done
the-tale-of-mr-jeremy-fisher.md,4.4,done
the-tale-of-mr-tod.md,26.9,done
the-tale-of-mrs-tiggy-winkle.md,7.9,done
the-tale-of-mrs-tittlemouse.md,6.8,done
the-tale-of-peter-rabbit.md,5.2,done
the-tale-of-pigling-bland.md,20.0,done
the-tale-of-samuel-whiskers.md,14.4,done
the-tale-of-squirrel-nutkin.md,7.0,done
the-tale-of-the-flopsy-bunnies.md,5.9,done
the-tale-of-the-pie-and-the-patty-pan.md,15.9,done
the-tale-of-timmy-tiptoes.md,7.7,done
the-tale-of-tom-kitten.md,4.0,done
the-tale-of-two-bad-mice.md,5.1,done
