file,size_kb,status
01-translator-s-preface-to-the-first-edition.md,3.8,todo
02-preface-to-the-second-edition.md,2.3,todo
03-i.md,31.4,todo
04-ii.md,41.2,todo
05-iii.md,37.2,todo
06-iv.md,48.1,todo
07-v.md,59.4,todo
08-vi.md,48.0,todo
09-vii.md,43.6,todo
10-viii.md,42.8,todo
11-ix.md,55.0,todo
12-x.md,33.4,todo
13-xi.md,28.2,todo
14-xii.md,74.5,todo
15-xiii.md,38.7,todo
16-xiv.md,45.7,todo
17-xv.md,56.3,todo
18-xvi.md,48.5,todo
19-xvii.md,30.6,todo
20-xviii.md,46.4,todo
21-xix.md,31.4,todo
22-endnotes.md,2.2,todo
