file,size_kb,status
dedication-1.md,0.1,done
part-1.md,210.0,done
the-black-hawk-war-2.md,9.7,done
a-reminiscence-of-black-hawk.md,53.7,done
advertisement.md,2.5,done
affidavit.md,2.0,done
appendix.md,29.4,done
black-hawk-s-last-visit.md,9.5,done
black-hawk-s-removal-to-the-des-moines-river.md,11.2,done
dedication.md,1.3,done
endnotes.md,0.3,done
fox-murderers-wanted.md,5.1,done
ne-ka-na-wen.md,1.9,done
preface.md,2.6,done
starts-for-a-new-home.md,3.7,done
the-black-hawk-tower.md,3.9,done
the-black-hawk-war.md,0.0,done
