file,size_kb,status
00-dedication.md,0.0,done
01-i.md,26.4,done
02-ii.md,20.4,done
03-iii.md,15.5,done
04-iv.md,29.9,done
05-v.md,21.8,done
06-vi.md,30.9,done
07-vii.md,19.4,done
08-viii.md,14.1,done
09-ix.md,31.1,done
10-x.md,17.8,done
11-xi.md,18.6,done
12-xii.md,19.8,done
13-xiii.md,13.8,done
14-xiv.md,15.5,done
15-xv.md,22.6,done
16-xvi.md,19.1,done
17-xvii.md,25.8,done
18-xviii.md,15.7,done
19-xix.md,20.8,done
20-xx.md,14.1,done
21-xxi.md,20.7,done
22-xxii.md,11.1,done
23-xxiii.md,12.3,done
24-xxiv.md,18.1,done
25-xxv.md,13.4,done
26-xxvi.md,16.8,done
27-xxvii.md,15.8,done
28-xxviii.md,4.2,done
29-xxix.md,12.3,done
30-xxx.md,18.4,done
31-xxxi.md,7.1,done
