file,size_kb,status
chapter-01.md,22.8,done
chapter-02.md,19.2,done
chapter-03.md,12.8,done
chapter-04.md,18.0,done
chapter-05.md,16.1,done
chapter-06.md,18.8,done
chapter-07.md,18.5,done
chapter-08.md,17.4,done
chapter-09.md,10.7,done
chapter-10.md,17.5,done
chapter-11.md,9.6,done
chapter-12.md,16.6,done
chapter-13.md,24.7,done
chapter-14.md,11.9,done
chapter-15.md,11.7,done
chapter-16.md,12.9,done
chapter-17.md,23.5,done
chapter-18.md,13.0,done
chapter-19.md,11.4,done
chapter-20.md,16.6,done
chapter-21.md,16.7,done
chapter-22.md,9.6,done
chapter-23.md,12.1,done
chapter-24.md,11.6,done
chapter-25.md,10.9,done
chapter-26.md,21.0,done
chapter-27.md,13.0,done
chapter-28.md,26.6,done
chapter-29.md,8.5,done
chapter-30.md,21.2,done
chapter-31.md,24.9,done
chapter-32.md,17.2,done
chapter-33.md,9.6,done
chapter-34.md,20.4,done
chapter-35.md,25.9,done
