file,size_kb,status
00-dedication.md,0.0,done
01-i.md,6.8,done
02-ii.md,10.5,done
03-iii.md,16.1,done
04-iv.md,17.4,done
05-v.md,14.0,done
06-vi.md,19.3,done
07-vii.md,13.8,done
08-viii.md,16.8,done
09-ix.md,22.0,done
10-x.md,24.3,done
11-xi.md,15.5,done
12-xii.md,17.2,done
13-xiii.md,14.6,done
14-xiv.md,17.7,done
15-xv.md,11.2,done
16-xvi.md,8.7,done
17-xvii.md,24.9,done
18-xviii.md,14.2,done
19-xix.md,12.0,done
20-xx.md,12.2,done
21-xxi.md,23.1,done
22-xxii.md,12.3,done
23-xxiii.md,18.8,done
24-xxiv.md,15.5,done
25-xxv.md,10.0,done
26-xxvi.md,13.4,done
27-xxvii.md,16.7,done
28-xxviii.md,18.5,done
29-xxix.md,13.2,done
30-xxx.md,14.7,done
31-xxxi.md,14.9,done
32-xxxii.md,13.2,done
33-xxxiii.md,15.2,done
