file,size_kb,status
dedication.md,0.1,todo
i.md,16.3,todo
ii.md,8.6,todo
iii.md,20.1,todo
iv.md,14.3,todo
ix.md,10.3,todo
v.md,8.1,todo
vi.md,16.5,todo
vii.md,17.2,todo
viii.md,14.0,todo
x.md,15.0,todo
xi.md,15.5,todo
xii.md,20.9,todo
xiii.md,16.6,todo
xiv.md,16.0,todo
xix.md,9.3,todo
xv.md,12.4,todo
xvi.md,16.1,todo
xvii.md,16.5,todo
xviii.md,17.9,todo
xx.md,11.2,todo
xxi.md,27.3,todo
xxii.md,16.7,todo
xxiii.md,14.1,todo
xxiv.md,22.3,todo
xxix.md,14.4,todo
xxv.md,19.0,todo
xxvi.md,24.6,todo
xxvii.md,15.1,todo
xxviii.md,19.5,todo
xxx.md,22.4,todo
xxxi.md,20.8,todo
xxxii.md,17.6,todo
xxxiii.md,12.3,todo
xxxiv.md,9.7,todo
xxxv.md,8.2,todo
xxxvi.md,2.7,todo
