file,size_kb,status
01-the-van-normans.md,14.7,done
02-miss-morton-arrives.md,15.3,done
03-a-cry-in-the-night.md,13.9,done
04-suicide-or.md,14.7,done
05-a-case-for-the-coroner.md,15.5,done
06-fessenden-comes.md,15.6,done
07-mr-benson-s-questions.md,13.7,done
08-a-soft-lead-pencil.md,15.9,done
09-the-will.md,13.3,done
10-some-testimony.md,14.9,done
11-i-decline-to-say.md,12.9,done
12-dorothy-burt.md,13.8,done
13-an-interview-with-cicely.md,15.4,done
14-the-carleton-household.md,14.4,done
15-fessenden-s-detective-work.md,14.8,done
16-searching-for-clues.md,15.0,done
17-miss-morton-s-statements.md,13.7,done
18-carleton-is-frank.md,16.6,done
19-the-truth-about-miss-burt.md,14.2,done
20-cicely-s-flight.md,15.2,done
21-a-successful-pursuit.md,13.8,done
22-a-talk-with-miss-morton.md,13.0,done
23-fleming-stone.md,14.3,done
24-a-confession.md,17.3,done
