file,size_kb,status
chapter-1.md,8.4,todo
chapter-2.md,15.5,todo
chapter-3.md,12.5,todo
chapter-4.md,25.6,todo
chapter-5.md,45.3,todo
chapter-6.md,50.4,todo
chapter-7.md,23.6,todo
chapter-8.md,51.1,todo
chapter-9.md,6.9,todo
chapter-10.md,32.9,todo
chapter-11.md,7.0,todo
chapter-12.md,21.2,todo
chapter-13.md,15.3,todo
chapter-14.md,16.7,todo
chapter-15.md,12.8,todo
chapter-16.md,25.4,todo
chapter-17.md,7.6,todo
chapter-18.md,15.1,todo
chapter-19.md,14.7,todo
chapter-20.md,11.8,todo
chapter-21.md,28.2,todo
chapter-22.md,26.8,todo
chapter-23.md,9.4,todo
chapter-24.md,24.7,todo
chapter-25.md,41.2,todo
chapter-26.md,46.4,todo
chapter-27.md,12.8,todo
chapter-28.md,27.2,todo
chapter-29.md,14.7,todo
chapter-30.md,16.7,todo
chapter-31.md,25.0,todo
chapter-32.md,14.0,todo
chapter-33.md,18.4,todo
chapter-34.md,53.5,todo
chapter-35.md,14.1,todo
chapter-36.md,6.5,todo
appendix.md,11.2,todo
dedication.md,0.8,todo
endnotes.md,11.1,todo
epigraph.md,0.8,todo
list-of-mr-babbages-printed-papers.md,13.9,todo
preface.md,2.0,todo
