file,size_kb,status
chapter-1.md,26.1,done
chapter-2.md,37.6,done
chapter-3.md,27.2,done
chapter-4.md,26.9,done
chapter-5.md,51.1,done
chapter-6.md,18.7,done
chapter-7.md,33.1,done
chapter-8.md,36.2,done
chapter-9.md,19.9,done
chapter-10.md,25.3,done
chapter-11.md,21.7,done
chapter-12.md,22.5,done
chapter-13.md,49.6,done
chapter-14.md,15.6,done
chapter-15.md,20.8,done
chapter-16.md,34.6,done
chapter-17.md,19.3,done
chapter-18.md,28.5,done
chapter-19.md,26.8,done
chapter-20.md,52.1,done
chapter-21.md,62.5,done
chapter-22.md,34.3,done
chapter-23.md,9.5,done
chapter-24.md,39.3,done
chapter-25.md,33.3,done
chapter-26.md,30.5,done
chapter-27.md,42.7,done
chapter-28.md,15.0,done
chapter-29.md,26.3,done
chapter-30.md,43.6,done
