file,size_kb,status
chapter-1.md,36.0,todo
chapter-2.md,18.2,todo
chapter-3.md,81.3,todo
chapter-4.md,17.0,todo
chapter-5.md,166.5,todo
chapter-6.md,113.5,todo
chapter-7.md,23.5,todo
chapter-8.md,34.8,todo
chapter-9.md,53.3,todo
chapter-10.md,25.8,todo
chapter-11.md,46.8,todo
chapter-12.md,41.7,todo
chapter-13.md,12.7,todo
chapter-14.md,31.8,todo
chapter-15.md,19.9,todo
chapter-16.md,25.5,todo
chapter-17.md,35.9,todo
chapter-18.md,35.3,todo
chapter-19.md,12.3,todo
chapter-20.md,68.5,todo
chapter-21.md,30.3,todo
chapter-22.md,23.7,todo
chapter-23.md,19.2,todo
chapter-24.md,25.5,todo
chapter-25.md,9.4,todo
chapter-26.md,20.7,todo
chapter-27.md,23.2,todo
chapter-28.md,64.1,todo
chapter-29.md,25.2,todo
chapter-30.md,93.9,todo
chapter-31.md,8.0,todo
chapter-32.md,26.4,todo
chapter-33.md,8.2,todo
chapter-34.md,23.9,todo
chapter-35.md,20.2,todo
chapter-36.md,13.0,todo
chapter-37.md,12.7,todo
chapter-38.md,14.4,todo
chapter-39.md,6.3,todo
