file,size_kb,status
00-dedication.md,1.2,done
01-the-haunted-bookshop.md,30.9,done
02-the-corn-cob-club.md,31.1,done
03-titania-arrives.md,26.5,done
04-the-disappearing-volume.md,25.7,done
05-aubrey-walks-part-way-home-and-rides-the-rest-of-the-way.md,13.4,done
06-titania-learns-the-business.md,31.2,done
07-aubrey-takes-lodgings.md,22.2,done
08-aubrey-goes-to-the-movies-and-wishes-he-knew-more-german.md,20.8,done
09-again-the-narrative-is-retarded.md,16.6,done
10-roger-raids-the-icebox.md,13.1,done
11-titania-tries-reading-in-bed.md,22.4,done
12-aubrey-determines-to-give-service-that-s-different.md,18.3,done
13-the-battle-of-ludlow-street.md,21.1,done
14-the-cromwell-makes-its-last-appearance.md,25.1,done
15-mr-chapman-waves-his-wand.md,23.0,done
16-endnotes.md,0.2,done
