file,size_kb,status
00-dedication.md,0.0,todo
01-first-part.md,0.0,todo
02-the-ditch.md,25.1,todo
03-the-breakwater.md,14.5,todo
04-malty-turned-down.md,16.7,todo
05-hard-feeding.md,10.3,todo
06-jellyroll.md,20.6,todo
07-second-part.md,0.0,todo
08-meeting-up.md,35.9,todo
09-the-flute-boy.md,16.1,todo
10-a-carved-carrot.md,12.0,todo
11-taloufa-s-shirttail.md,20.9,todo
12-storytelling.md,30.7,todo
13-everybody-doing-it.md,24.1,todo
14-bugsy-s-chinese-pie.md,29.0,todo
15-bugsy-comes-back-at-banjo.md,16.3,todo
16-telling-jokes.md,17.2,todo
17-white-terror.md,17.5,todo
18-the-blue-cinema.md,32.5,todo
19-breaking-up.md,7.9,todo
20-third-part.md,0.0,todo
21-banjo-s-return.md,12.3,todo
22-lonesome-blue-again.md,15.2,todo
23-the-rock-of-refuge.md,20.4,todo
24-official-fists.md,21.9,todo
25-reaction.md,17.2,todo
26-shake-that-thing-again.md,7.7,todo
27-the-chauffeur-s-lot.md,26.8,todo
28-banjo-s-ace-of-spades.md,42.8,todo
