file,size_kb,status
chapter-01-the-sance.md,24.5,todo
chapter-02-in-the-street.md,9.5,todo
chapter-03-starkness.md,8.5,todo
chapter-04-the-voice.md,9.7,todo
chapter-05-the-night-of-departure.md,12.4,todo
chapter-06-joiwind.md,30.2,todo
chapter-07-panawe.md,26.9,todo
chapter-08-the-lusion-plain.md,16.6,todo
chapter-09-oceaxe.md,39.0,todo
chapter-10-tydomin.md,39.3,todo
chapter-11-on-disscourn.md,17.1,todo
chapter-12-spadevil.md,28.9,todo
chapter-13-the-wombflash-forest.md,10.2,todo
chapter-14-polecrab.md,28.9,todo
chapter-15-swaylones-island.md,35.0,todo
chapter-16-leehallfae.md,39.1,todo
chapter-17-corpang.md,35.4,todo
chapter-18-haunte.md,36.5,todo
chapter-19-sullenbode.md,31.4,todo
chapter-20-barey.md,31.1,todo
chapter-21-muspel.md,19.1,todo
