file,size_kb,status
chapter-01.md,18.4,done
chapter-02.md,35.7,done
chapter-03.md,17.3,done
chapter-04.md,20.0,done
chapter-05.md,8.3,done
chapter-06.md,5.7,done
chapter-07.md,24.4,done
chapter-08.md,24.6,done
chapter-09.md,23.3,done
chapter-10.md,15.6,done
chapter-11.md,18.2,done
chapter-12.md,7.2,done
chapter-13.md,7.9,done
chapter-14.md,16.0,done
chapter-15.md,14.8,done
chapter-16.md,16.0,done
chapter-17.md,28.4,done
chapter-18.md,7.0,done
chapter-19.md,19.3,done
chapter-20.md,19.0,done
chapter-21.md,29.4,done
chapter-22.md,6.3,done
