file,size_kb,status
01-for-this-my-son-was-dead-and-is-alive-again-he-was-lost-and-is-found.md,11.0,todo
02-i-begin-a-pilgrimage.md,31.4,todo
03-en-route.md,21.6,todo
04-a-pilgrim-s-progress.md,40.9,todo
05-le-nouveau.md,81.9,todo
06-a-group-of-portraits.md,45.5,todo
07-apollyon.md,50.2,todo
08-an-approach-to-the-delectable-mountains.md,62.3,todo
09-the-wanderer.md,24.1,todo
10-zoo-loo.md,37.3,todo
11-surplice.md,24.6,todo
12-jean-le-n-gre.md,43.5,todo
13-three-wise-men.md,31.8,todo
14-i-say-goodbye-to-la-mis-re.md,32.0,todo
