file,size_kb,status
a-royal-mohawk-chief.md,8.5,done
a-squamish-legend-of-napoleon.md,9.9,done
biographical-notice.md,7.0,done
deadman-s-island.md,11.2,done
deer-lake.md,8.2,done
endnotes.md,0.5,done
foreword.md,1.0,done
point-grey.md,6.8,done
preface.md,0.8,done
the-deep-waters.md,11.3,done
the-grey-archway.md,12.4,done
the-lions.md,9.4,done
the-lost-island.md,7.6,done
the-lost-salmon-run.md,10.7,done
the-lure-in-stanley-park.md,10.0,done
the-recluse.md,13.4,done
the-sea-serpent.md,11.5,done
the-siwash-rock.md,9.1,done
the-tulameen-trail.md,10.7,done
