file,size_kb,status
prologue.md,7.5,todo
chapter-1.md,30.2,todo
chapter-2.md,27.7,todo
chapter-3.md,32.2,todo
chapter-4.md,35.1,todo
chapter-5.md,14.8,todo
chapter-6.md,14.4,todo
chapter-7.md,56.7,todo
chapter-8.md,32.0,todo
chapter-9.md,35.8,todo
chapter-10.md,15.6,todo
chapter-11.md,34.3,todo
chapter-12.md,57.7,todo
chapter-13.md,27.3,todo
chapter-14.md,17.8,todo
chapter-15.md,20.0,todo
chapter-16.md,25.9,todo
chapter-17.md,24.5,todo
chapter-18.md,26.5,todo
chapter-19.md,24.4,todo
chapter-20.md,11.4,todo
chapter-21.md,11.6,todo
chapter-22.md,23.3,todo
chapter-23.md,12.5,todo
chapter-24.md,27.2,todo
chapter-25.md,26.3,todo
chapter-26.md,39.0,todo
chapter-27.md,31.6,todo
chapter-28.md,25.0,todo
chapter-29.md,4.9,todo
chapter-30.md,24.7,todo
chapter-31.md,47.2,todo
chapter-32.md,33.5,todo
chapter-33.md,38.1,todo
