file,size_kb,status
01-part-i-the-moon-maid.md,0.0,todo
02-the-message-from-mars.md,11.0,todo
03-the-flight-of-the-barsoom.md,30.7,todo
04-the-heart-of-the-moon.md,22.9,todo
05-human-quadrupeds.md,23.1,todo
06-in-the-hands-of-the-va-gas.md,22.3,todo
07-a-lunar-storm.md,20.8,todo
08-an-exodus-and-a-battle.md,23.9,todo
09-the-moon-maid-escapes.md,18.2,todo
10-into-the-mouth-of-the-crater.md,24.2,todo
11-the-fight-with-the-kalkars.md,17.8,todo
12-the-kalkar-city.md,28.6,todo
13-laythe.md,19.0,todo
14-ko-tah-threatens-the-princess.md,23.1,todo
15-ko-tah-is-killed.md,23.8,todo
16-back-to-the-barsoom.md,25.8,todo
17-part-ii-the-moon-men.md,0.0,todo
18-the-conquest.md,12.6,todo
19-the-flag.md,14.5,todo
20-the-hellhounds.md,12.0,todo
21-brother-general-or-tis.md,19.3,todo
22-a-fight-on-market-day.md,14.0,todo
23-the-court-martial.md,19.0,todo
24-betrayed.md,18.8,todo
25-the-arrest-of-julian-8th.md,7.3,todo
26-i-horsewhip-an-officer.md,10.6,todo
27-revolution.md,20.3,todo
28-the-butcher.md,17.2,todo
29-part-iii-the-red-hawk.md,0.0,todo
30-the-desert-clans.md,21.9,todo
31-exodus.md,11.1,todo
32-armageddon.md,15.0,todo
33-the-capital.md,20.1,todo
34-the-sea.md,17.5,todo
35-saku-the-nipon.md,17.6,todo
36-bethelda.md,19.0,todo
37-raban.md,23.7,todo
38-reunion.md,15.3,todo
39-peace.md,2.4,todo
40-endnotes.md,0.3,todo
