file,size_kb,status
the-facts-in-the-case.md,0.0,done
a-man-of-fashion.md,11.0,done
the-pocket-venus.md,13.5,done
the-ex-first-lady.md,13.2,done
enchantment.md,7.7,done
marie-changes-her-name.md,13.0,done
the-yellow-fay.md,8.0,done
sweet-and-twenty.md,9.0,done
two-in-a-turret.md,8.8,done
fanny-changes-her-clothes.md,13.1,done
a-victim.md,7.1,done
the-general-sessions.md,0.0,done
disenchantment.md,11.4,done
the-mote-in-the-eye.md,13.6,done
the-gates-of-life.md,12.2,done
the-return-of-the-yellow-fay.md,12.7,done
exit-fanny.md,9.7,done
what-the-papers-said.md,11.4,done
held-without-bail.md,15.4,done
the-defendant-to-the-bar.md,12.3,done
the-twelfth-juror.md,19.4,done
the-verdict.md,5.3,done
