file,size_kb,status
xix-2.md,11.6,todo
i.md,9.6,todo
ii.md,7.4,todo
iii.md,12.5,todo
iv.md,14.9,todo
ix.md,4.8,todo
v.md,11.2,todo
vi.md,6.1,todo
vii.md,6.3,todo
viii.md,5.6,todo
x.md,8.5,todo
xi.md,9.0,todo
xii.md,9.9,todo
xiii.md,16.1,todo
xiv.md,6.0,todo
xix.md,10.6,todo
xl.md,16.2,todo
xli.md,9.0,todo
xlii.md,7.8,todo
xliii.md,8.6,todo
xliv.md,7.0,todo
xlix.md,6.7,todo
xlv.md,11.3,todo
xlvi.md,12.1,todo
xlvii.md,9.9,todo
xlviii.md,6.4,todo
xv.md,2.5,todo
xvi.md,9.4,todo
xvii.md,2.5,todo
xviii.md,5.7,todo
xx.md,9.7,todo
xxi.md,4.3,todo
xxii.md,6.2,todo
xxiii.md,10.9,todo
xxiv.md,10.7,todo
xxv.md,5.8,todo
xxvi.md,7.5,todo
xxvii.md,15.5,todo
xxviii.md,5.9,todo
xxx.md,10.0,todo
xxxi.md,13.3,todo
xxxii.md,6.3,todo
xxxiii.md,9.0,todo
xxxiv.md,11.8,todo
xxxix.md,10.9,todo
xxxv.md,5.8,todo
xxxvi.md,12.1,todo
xxxvii.md,9.9,todo
xxxviii.md,8.1,todo
