file,size_kb,status
the-trap-that-failed-2.md,4.9,done
a-cry-from-a-tower.md,7.7,done
a-narrow-escape.md,8.6,done
at-the-tower-again.md,5.7,done
bhag-s-return.md,8.7,done
bhag.md,7.9,done
camera.md,7.5,done
clues-at-the-tower.md,7.1,done
gregory-s-way.md,11.2,done
john-percival-liggitt.md,6.5,done
mendoza-makes-a-fight.md,11.3,done
michael-knows-for-sure.md,16.7,done
mr-foss-makes-a-suggestion.md,4.7,done
mr-lawley-foss.md,7.0,done
mr-sampson-longvale-calls.md,8.3,done
the-advertisement.md,6.5,done
the-ancestor.md,8.7,done
the-brown-man-from-nowhere.md,8.4,done
the-cavern-of-bones.md,7.4,done
the-caves.md,9.5,done
the-death.md,9.7,done
the-erasure.md,13.1,done
the-escape.md,8.5,done
the-face-in-the-picture.md,7.6,done
the-hand.md,21.7,done
the-head.md,3.4,done
the-headhunter.md,7.8,done
the-leading-lady.md,7.2,done
the-man-in-the-car.md,7.6,done
the-mark-on-the-window.md,6.8,done
the-marks-of-the-beast.md,6.7,done
the-master-of-griff.md,9.9,done
the-midnight-visit.md,12.3,done
the-niece.md,6.1,done
the-open-window.md,8.6,done
the-search.md,11.2,done
the-swords-and-bhag.md,7.5,done
the-tower.md,10.0,done
the-trap-that-failed.md,9.5,done
the-widow.md,5.9,done
two-from-the-yard.md,3.3,done
what-happened-to-adele.md,4.7,done
