file,size_kb,status
bradshaw.md,3.7,done
edith-meets-the-player.md,16.1,done
gilbert-leaves-hurriedly.md,23.8,done
sunstar-s-derby.md,16.8,done
the-amateur-safe-smasher.md,11.5,done
the-bank-smasher.md,17.5,done
the-fourth-man.md,15.9,done
the-maker-of-wills.md,16.2,done
the-man-who-desired-wealth.md,21.0,done
the-melody-in-f.md,15.0,done
the-necklace.md,18.6,done
the-place-where-the-loot-was-stored.md,24.8,done
the-safe-agency.md,7.9,done
the-standerton-diamonds.md,8.3,done
the-tale-the-doctor-told.md,11.5,done
the-wife-who-did-not-love.md,28.4,done
