file,size_kb,status
00-dedication.md,0.0,todo
00-epigraph.md,0.3,todo
01-i.md,16.0,todo
02-ii.md,22.0,todo
03-iii.md,14.9,todo
04-iv.md,20.7,todo
05-v.md,17.5,todo
06-vi.md,25.2,todo
07-vii.md,20.1,todo
08-viii.md,15.2,todo
09-ix.md,26.1,todo
10-x.md,18.8,todo
11-xi.md,29.3,todo
12-xii.md,25.8,todo
13-xiii.md,12.7,todo
14-xiv.md,18.2,todo
15-xv.md,15.2,todo
16-xvi.md,23.2,todo
17-xvii.md,20.2,todo
18-xviii.md,13.9,todo
19-xix.md,25.2,todo
20-xx.md,13.7,todo
21-xxi.md,21.3,todo
22-xxii.md,20.6,todo
23-xxiii.md,27.1,todo
24-xxiv.md,25.3,todo
25-xxv.md,20.5,todo
26-xxvi.md,24.0,todo
27-xxvii.md,18.3,todo
28-xxviii.md,23.5,todo
29-xxix.md,20.4,todo
30-xxx.md,17.9,todo
31-xxxi.md,27.1,todo
32-xxxii.md,26.4,todo
33-xxxiii.md,21.4,todo
34-xxxiv.md,19.7,todo
35-xxxv.md,21.9,todo
36-xxxvi.md,15.9,todo
37-xxxvii.md,24.5,todo
38-xxxviii.md,22.5,todo
39-xxxix.md,19.4,todo
40-xl.md,20.9,todo
41-xli.md,15.4,todo
42-xlii.md,21.6,todo
43-xliii.md,13.5,todo
44-xliv.md,20.3,todo
45-xlv.md,23.1,todo
46-xlvi.md,16.6,todo
