file,size_kb,status
acknowledgment.md,0.3,todo
dedication.md,0.0,todo
foreword.md,1.6,todo
i.md,20.9,todo
ii.md,37.3,todo
iii.md,18.2,todo
iv.md,10.8,todo
ix.md,23.7,todo
list-of-illustrations.md,0.1,todo
v.md,29.3,todo
vi.md,34.9,todo
vii.md,28.8,todo
viii.md,37.2,todo
x.md,29.4,todo
xi.md,17.8,todo
xii.md,14.2,todo
xiii.md,14.8,todo
xiv.md,24.2,todo
xix.md,31.2,todo
xv.md,34.7,todo
xvi.md,25.9,todo
xvii.md,14.5,todo
xviii.md,34.6,todo
xx.md,25.3,todo
xxi.md,27.2,todo
xxii.md,12.0,todo
xxiii.md,25.9,todo
xxiv.md,5.9,todo
xxv.md,10.1,todo
