file,size_kb,status
chapter-1.md,26.4,todo
chapter-2.md,14.5,todo
chapter-3.md,31.6,todo
chapter-4.md,19.7,todo
chapter-5.md,39.8,todo
chapter-6.md,16.9,todo
chapter-7.md,14.0,todo
chapter-8.md,35.5,todo
chapter-9.md,18.9,todo
chapter-10.md,35.4,todo
chapter-11.md,27.1,todo
chapter-12.md,17.3,todo
chapter-13.md,33.7,todo
chapter-14.md,34.2,todo
chapter-15.md,26.1,todo
chapter-16.md,31.8,todo
chapter-17.md,13.8,todo
chapter-18.md,34.7,todo
chapter-19.md,11.0,todo
chapter-20.md,8.2,todo
chapter-21.md,7.3,todo
