file,size_kb,status
a-charitable-institution.md,9.7,done
a-council-of-war.md,6.0,done
a-crisis-with-bud.md,7.8,done
a-letter-and-its-consequences.md,3.8,done
a-loss-and-a-gain.md,3.8,done
a-night-at-pete-jones-s.md,9.8,done
a-private-lesson-from-a-bulldog.md,14.6,done
a-spell-coming.md,4.4,done
a-struggle-for-the-mastery.md,7.9,done
after-the-battle.md,5.1,done
brother-sodom.md,5.1,done
bud-wooing.md,4.9,done
dedication.md,0.2,done
endnotes.md,19.9,done
face-to-face.md,4.9,done
god-remembers-shocky.md,8.4,done
has-god-forgotten-shocky.md,4.7,done
how-it-came-out.md,3.8,done
into-the-light.md,4.3,done
mirandy-hank-and-shocky.md,15.2,done
miss-martha-hawkins.md,9.2,done
miss-nancy-sawyer.md,2.5,done
odds-and-ends.md,5.4,done
ominous-remarks-of-mr-jones.md,4.0,done
pancakes.md,8.7,done
preface.md,3.0,done
spelling-down-the-master.md,23.2,done
the-church-militant.md,7.1,done
the-church-of-the-best-licks.md,6.7,done
the-devil-of-silence.md,7.5,done
the-flight.md,6.2,done
the-good-samaritan.md,3.3,done
the-hardshell-preacher.md,11.3,done
the-struggle-in-the-dark.md,5.0,done
the-trial-concluded.md,17.4,done
the-trial.md,17.6,done
the-walk-home.md,8.6,done
