file,size_kb,status
epilogue.md,2.3,todo
i.md,15.6,todo
ii.md,18.4,todo
iii.md,13.7,todo
introduction.md,4.8,todo
iv.md,15.0,todo
ix.md,18.7,todo
v.md,15.2,todo
vi.md,11.9,todo
vii.md,8.9,todo
viii.md,13.9,todo
x.md,12.0,todo
xi.md,10.9,todo
xii.md,15.5,todo
xiii.md,16.8,todo
xiv.md,17.1,todo
xix.md,20.7,todo
xl.md,8.4,todo
xli.md,10.7,todo
xlii.md,10.4,todo
xliii.md,12.8,todo
xliv.md,9.4,todo
xlv.md,2.3,todo
xlvi.md,10.7,todo
xlvii.md,10.8,todo
xlviii.md,0.7,todo
xv.md,6.5,todo
xvi.md,8.5,todo
xvii.md,21.9,todo
xviii.md,13.3,todo
xx.md,15.7,todo
xxi.md,10.8,todo
xxii.md,12.9,todo
xxiii.md,13.3,todo
xxiv.md,17.6,todo
xxix.md,12.1,todo
xxv.md,13.8,todo
xxvi.md,15.2,todo
xxvii.md,12.2,todo
xxviii.md,14.3,todo
xxx.md,6.4,todo
xxxi.md,6.1,todo
xxxii.md,11.2,todo
xxxiii.md,7.9,todo
xxxiv.md,8.3,todo
xxxix.md,11.0,todo
xxxv.md,5.7,todo
xxxvi.md,12.5,todo
xxxvii.md,12.5,todo
xxxviii.md,14.5,todo
