file,size_kb,status
oliver-parmenter-jones.md,15.3,done
the-pearl-diggers.md,13.1,done
the-climbing-rabbit.md,16.8,done
do-fish-climb-trees.md,10.6,done
the-fishing-prize.md,14.2,done
the-prize-winner.md,17.2,done
the-tough-customer.md,22.2,done
the-redheaded-bandit.md,13.6,done
the-abduction-of-rover.md,16.5,done
the-treasure-hunt.md,20.3,done
where-is-greenland.md,7.5,done
the-worm-mine.md,10.2,done
the-viking-ship.md,8.8,done
uncle-beeswax.md,11.8,done
the-grape-tree.md,9.4,done
congo-magic.md,15.0,done
grains-of-sand.md,18.9,done
pirate-s-treasure.md,12.0,done
the-tough-customer-appears.md,13.7,done
orlando.md,16.7,done
winged-enemies.md,14.2,done
a-new-swimming-hole.md,18.1,done
treasure-trove.md,13.3,done
the-treasure.md,14.8,done
