file,size_kb,status
i-2.md,16.4,todo
ii-2.md,25.3,todo
iii-2.md,15.8,todo
iv-2.md,8.4,todo
ix-2.md,9.3,todo
v-2.md,16.2,todo
vi-2.md,14.8,todo
vii-2.md,7.4,todo
viii-2.md,7.6,todo
x-2.md,8.5,todo
xi-2.md,16.8,todo
xii-2.md,8.9,todo
xiii-2.md,17.3,todo
xiv-2.md,8.3,todo
xix-2.md,8.5,todo
xv-2.md,7.4,todo
xvi-2.md,24.5,todo
xvii-2.md,19.2,todo
xviii-2.md,15.1,todo
xx-2.md,6.5,todo
xxi-2.md,7.5,todo
xxii-2.md,14.8,todo
xxiii-2.md,15.5,todo
xxiv-2.md,22.1,todo
xxv-2.md,15.8,todo
i.md,23.3,todo
ii.md,17.7,todo
iii.md,26.1,todo
iv.md,16.9,todo
ix.md,28.5,todo
l.md,11.5,todo
li.md,14.5,todo
lii.md,21.4,todo
liii.md,16.6,todo
list-of-illustrations.md,0.1,todo
liv.md,26.4,todo
lv.md,8.9,todo
the-first-success.md,11.7,todo
the-honor-of-the-name.md,0.0,todo
the-inquiry.md,0.0,todo
v.md,24.5,todo
vi.md,26.4,todo
vii.md,26.3,todo
viii.md,27.5,todo
x.md,26.6,todo
xi.md,18.3,todo
xii.md,17.5,todo
xiii.md,8.7,todo
xiv.md,17.9,todo
xix.md,35.5,todo
xl.md,7.0,todo
xli.md,15.0,todo
xlii.md,24.6,todo
xliii.md,9.8,todo
xliv.md,18.2,todo
xlix.md,8.3,todo
xlv.md,19.6,todo
xlvi.md,15.0,todo
xlvii.md,30.2,todo
xlviii.md,13.6,todo
xv.md,27.9,todo
xvi.md,25.4,todo
xvii.md,25.8,todo
xviii.md,25.6,todo
xx.md,30.8,todo
xxi.md,32.1,todo
xxii.md,16.3,todo
xxiii.md,8.5,todo
xxiv.md,15.4,todo
xxix.md,28.3,todo
xxv.md,8.9,todo
xxvi.md,7.2,todo
xxvii.md,31.9,todo
xxviii.md,21.2,todo
xxx.md,24.8,todo
xxxi.md,29.1,todo
xxxii.md,15.5,todo
xxxiii.md,14.5,todo
xxxiv.md,8.2,todo
xxxix.md,10.8,todo
xxxv.md,22.2,todo
xxxvi.md,19.8,todo
xxxvii.md,7.5,todo
xxxviii.md,14.1,todo
