file,size_kb,status
endnotes.md,0.1,todo
i.md,17.6,todo
ii.md,13.3,todo
iii.md,21.4,todo
iv.md,20.7,todo
ix.md,27.7,todo
v.md,13.6,todo
vi.md,18.5,todo
vii.md,28.3,todo
viii.md,8.7,todo
x.md,44.0,todo
xi.md,16.9,todo
xii.md,18.5,todo
xiii.md,20.8,todo
xiv.md,20.6,todo
xix.md,28.1,todo
xv.md,20.7,todo
xvi.md,12.1,todo
xvii.md,14.3,todo
xviii.md,23.1,todo
xx.md,28.0,todo
xxi.md,18.0,todo
xxii.md,8.8,todo
xxiii.md,37.4,todo
xxiv.md,48.6,todo
xxv.md,15.6,todo
xxvi.md,21.5,todo
xxvii.md,14.8,todo
xxviii.md,1.4,todo
