file,size_kb,status
a-bombshell.md,12.5,done
a-dinner-party-at-gin-sin.md,25.5,done
a-great-military-exploit.md,9.3,done
among-the-moritos.md,28.0,done
dedication.md,0.0,done
east-point.md,18.2,done
home-again.md,25.8,done
love-and-combat.md,23.7,done
off-for-the-cubapines.md,32.1,done
on-duty-at-havilla.md,22.6,done
politics.md,8.1,done
slowburgh.md,26.2,done
the-battle-of-san-diego.md,32.9,done
the-end.md,19.2,done
the-great-white-temple.md,31.6,done
the-warlord.md,27.5,done
war-and-business.md,27.7,done
