file,size_kb,status
chapter-1.md,20.8,todo
chapter-2.md,9.7,todo
chapter-3.md,12.4,todo
chapter-4.md,16.1,todo
chapter-5.md,14.4,todo
chapter-6.md,21.4,todo
chapter-7.md,24.5,todo
chapter-8.md,7.1,todo
chapter-9.md,10.5,todo
chapter-10.md,9.7,todo
chapter-11.md,17.8,todo
chapter-12.md,8.8,todo
chapter-13.md,18.4,todo
chapter-14.md,21.0,todo
chapter-15.md,10.0,todo
chapter-16.md,12.6,todo
chapter-17.md,12.1,todo
chapter-18.md,7.8,todo
chapter-19.md,4.3,todo
chapter-20.md,6.6,todo
chapter-21.md,8.4,todo
chapter-22.md,8.1,todo
chapter-23.md,10.5,todo
chapter-24.md,12.5,todo
chapter-25.md,8.3,todo
chapter-26.md,12.3,todo
chapter-27.md,15.1,todo
chapter-28.md,11.8,todo
chapter-29.md,10.8,todo
chapter-30.md,5.7,todo
chapter-31.md,14.6,todo
chapter-32.md,15.4,todo
chapter-33.md,6.8,todo
chapter-34.md,21.8,todo
chapter-35.md,11.2,todo
chapter-36.md,17.7,todo
chapter-37.md,14.6,todo
chapter-38.md,13.1,todo
chapter-39.md,9.5,todo
chapter-40.md,5.7,todo
chapter-41.md,9.9,todo
chapter-42.md,9.0,todo
chapter-43.md,14.3,todo
chapter-44.md,5.3,todo
dedication.md,0.0,todo
