file,size_kb,status
01-dedication.md,0.1,todo
02-preface.md,11.6,todo
03-list-of-illustrations.md,0.4,todo
04-into-the-weddell-sea.md,38.2,todo
05-new-land.md,40.7,todo
06-winter-months.md,53.4,todo
07-loss-of-the-endurance.md,49.5,todo
08-ocean-camp.md,32.6,todo
09-the-march-between.md,9.0,todo
10-patience-camp.md,20.9,todo
11-escape-from-the-ice.md,84.7,todo
12-the-boat-journey.md,84.1,todo
13-across-south-georgia.md,25.1,todo
14-the-rescue.md,27.2,todo
15-elephant-island.md,38.2,todo
16-the-ross-sea-party.md,47.8,todo
17-wintering-in-mcmurdo-sound.md,25.6,todo
18-laying-the-depots.md,62.4,todo
19-the-aurora-s-drift.md,65.4,todo
20-the-last-relief.md,7.0,todo
21-the-final-phase.md,6.1,todo
22-appendix-i.md,54.8,todo
23-the-expedition-huts-at-mcmurdo-sound.md,7.0,todo
24-endnotes.md,0.1,todo
