file,size_kb,status
a-bit-of-theory.md,10.1,todo
anarchism-and-syndicalism.md,13.7,todo
anarchists-and-the-situation.md,9.1,todo
anarchists-have-forgotten-their-principles.md,9.2,todo
anarchy-and-violence.md,11.3,todo
anarchy.md,93.0,todo
capitalists-and-thieves.md,5.2,todo
endnotes.md,0.2,todo
italy-also.md,5.6,todo
pro-government-anarchists.md,6.8,todo
should-anarchists-be-admitted-to-the-coming-international-congress.md,7.8,todo
the-dictatorship-of-the-proletariat-and-anarchy.md,4.3,todo
the-duties-of-the-present-hour.md,10.4,todo
the-general-strike-and-the-insurrection-in-italy.md,4.3,todo
the-two-roads.md,8.9,todo
was-it-properly-understood.md,2.9,todo
