file,size_kb,status
01-inscription.md,1.0,todo
02-to-the-authors-of-the-monthly-and-critical-reviews.md,4.6,todo
03-preface.md,4.9,todo
04-lady-howard-to-the-rev-mr-villars.md,3.3,todo
05-mr-villars-to-lady-howard.md,8.2,todo
06-written-some-months-after-the-last.md,2.4,todo
07-mr-villars-to-lady-howard-2.md,4.9,todo
08-mr-villars-to-lady-howard-3.md,0.7,todo
09-lady-howard-to-the-rev-mr-villars-2.md,2.5,todo
10-lady-howard-to-the-rev-mr-villars-3.md,2.9,todo
11-evelina-to-the-rev-mr-villars.md,3.1,todo
12-mr-villars-to-evelina.md,1.0,todo
13-evelina-to-the-rev-mr-villars-2.md,5.6,todo
14-evelina-in-continuation.md,14.6,todo
15-evelina-in-continuation-2.md,9.4,todo
16-evelina-in-continuation-3.md,21.6,todo
17-evelina-in-continuation-4.md,11.5,todo
18-mr-villars-to-evelina-2.md,4.1,todo
19-evelina-to-the-rev-mr-villars-3.md,23.6,todo
20-evelina-in-continuation-5.md,9.9,todo
21-evelina-in-continuation-6.md,5.3,todo
22-evelina-in-continuation-7.md,10.2,todo
23-evelina-in-continuation-8.md,12.4,todo
24-evelina-in-continuation-9.md,40.3,todo
25-evelina-in-continuation-10.md,6.3,todo
26-evelina-in-continuation-11.md,24.3,todo
27-mr-villars-to-evelina-3.md,4.3,todo
28-evelina-to-the-rev-mr-villars-4.md,7.6,todo
29-evelina-to-the-rev-mr-villars-5.md,5.5,todo
30-lady-howard-to-the-rev-mr-villars-4.md,3.6,todo
31-mr-villars-to-lady-howard-4.md,10.8,todo
32-mr-villars-to-evelina-4.md,0.9,todo
33-evelina-to-the-rev-mr-villars-6.md,1.8,todo
34-lady-howard-to-sir-john-belmont-bart.md,3.5,todo
35-evelina-to-the-rev-mr-villars-7.md,4.0,todo
36-evelina-in-continuation-12.md,35.2,todo
37-evelina-in-continuation-13.md,12.5,todo
38-sir-john-belmont-to-lady-howard.md,1.0,todo
39-evelina-to-the-rev-mr-villars-8.md,4.9,todo
40-mr-villars-to-evelina-5.md,3.1,todo
41-mr-villars-to-lady-howard-5.md,3.5,todo
42-mr-villars-to-evelina-6.md,1.6,todo
43-evelina-to-the-rev-mr-villars-9.md,15.9,todo
44-evelina-to-miss-mirvan.md,2.5,todo
45-evelina-to-the-rev-mr-villars-10.md,13.6,todo
46-evelina-in-continuation-14.md,11.9,todo
47-evelina-in-continuation-15.md,7.3,todo
48-evelina-in-continuation-16.md,10.0,todo
49-evelina-to-the-rev-mr-villars-11.md,30.7,todo
50-evelina-to-the-rev-mr-villars-12.md,13.2,todo
51-evelina-in-continuation-17.md,7.3,todo
52-mr-villars-to-evelina-7.md,3.3,todo
53-evelina-to-the-rev-mr-villars-13.md,16.6,todo
54-evelina-in-continuation-18.md,14.4,todo
55-evelina-in-continuation-19.md,15.3,todo
56-evelina-in-continuation-20.md,8.8,todo
57-evelina-in-continuation-21.md,16.3,todo
58-evelina-in-continuation-22.md,5.8,todo
59-mr-villars-to-evelina-8.md,1.1,todo
60-evelina-to-miss-mirvan-2.md,4.5,todo
61-evelina-to-miss-mirvan-3.md,7.5,todo
62-evelina-in-continuation-23.md,6.0,todo
63-evelina-in-continuation-24.md,14.2,todo
64-evelina-in-continuation-25.md,2.7,todo
65-evelina-to-the-rev-mr-villars-14.md,10.9,todo
66-evelina-in-continuation-26.md,12.6,todo
67-evelina-in-continuation-27.md,23.2,todo
68-evelina-in-continuation-28.md,5.9,todo
69-evelina-in-continuation-29.md,23.4,todo
70-mr-villars-to-evelina-9.md,5.7,todo
71-evelina-to-the-rev-mr-villars-15.md,11.9,todo
72-evelina-in-continuation-30.md,3.8,todo
73-evelina-in-continuation-31.md,12.6,todo
74-evelina-in-continuation-32.md,1.1,todo
75-evelina-in-continuation-33.md,27.7,todo
76-mr-villars-to-evelina-10.md,3.6,todo
77-enclosed-in-the-preceding-letter.md,4.2,todo
78-evelina-to-the-rev-mr-villars-16.md,17.8,todo
79-evelina-in-continuation-34.md,16.6,todo
80-evelina-in-continuation-35.md,31.9,todo
81-evelina-in-continuation-36.md,13.2,todo
82-evelina-in-continuation-37.md,8.8,todo
83-evelina-in-continuation-38.md,15.9,todo
84-evelina-in-continuation-39.md,6.0,todo
85-evelina-in-continuation-40.md,32.0,todo
86-mr-villars-to-evelina-11.md,2.1,todo
87-evelina-to-the-rev-mr-villars-17.md,0.4,todo
88-endnotes.md,0.2,todo
