file,size_kb,status
01-epigraph.md,0.2,todo
02-preface.md,5.6,todo
03-introduction.md,8.7,todo
04-the-night-entrance.md,21.2,todo
05-under-the-shadow-of-esculapius.md,7.9,todo
06-the-kingdom-of-the-dream.md,15.5,todo
07-cashmere-and-cathay-by-twilight.md,26.2,todo
08-the-hour-and-the-power-of-darkness.md,23.8,todo
09-the-mysteries-of-the-life-sign-gemini.md,14.2,todo
10-the-night-of-apotheosis.md,25.0,todo
11-vos-non-vobis-wherein-the-pythagorean-is-a-bystander.md,35.5,todo
12-the-shadow-of-bacchus-the-shadow-of-thanatos-and-the-shadow-of-shame.md,13.6,todo
13-nimium-the-amreeta-cup-of-unveiling.md,22.6,todo
14-the-book-of-symbols.md,10.6,todo
15-today-zeus-tomorrow-prometheus.md,12.7,todo
16-idola-theatri-and-the-prince-of-whales.md,23.6,todo
17-hail-pythagoras.md,17.8,todo
18-then-seeva-opened-on-the-accursed-one-his-eye-of-anger.md,23.9,todo
19-an-oath-in-the-forum-of-madness.md,14.0,todo
20-down-with-the-tide.md,13.5,todo
21-my-stony-guardian.md,9.6,todo
22-resurgam.md,7.8,todo
23-leaving-the-schoolmaster-the-pythagorean-sets-up-for-himself.md,22.5,todo
24-concerning-the-doctor-not-southey-s-but-mine.md,18.1,todo
25-grand-divertissement.md,9.3,todo
26-the-hell-of-waters-and-the-hell-of-treachery.md,7.2,todo
27-the-visionary-to-which-chapter-there-is-no-admittance-upon-business.md,16.7,todo
28-cave-succedanea.md,7.5,todo
29-notes-on-the-way-upward.md,7.9,todo
30-labyrinths-and-guiding-threads.md,64.4,todo
31-ideal-men-and-their-stimulants.md,55.3,todo
32-endnotes.md,10.7,todo
