file,size_kb,status
00-dedication.md,0.0,done
01-epigraph.md,0.0,done
02-part-1-the-major-chord.md,0.0,done
03-chapter-01.md,14.3,done
04-chapter-02.md,17.9,done
05-chapter-03.md,22.0,done
06-chapter-04.md,29.7,done
07-chapter-05.md,16.4,done
08-chapter-06.md,12.7,done
09-chapter-07.md,15.9,done
10-chapter-08.md,8.4,done
11-part-2-the-threatened-rift.md,0.0,done
12-chapter-09.md,9.6,done
13-chapter-10.md,10.8,done
14-chapter-11.md,18.8,done
15-chapter-12.md,24.3,done
16-chapter-13.md,26.3,done
17-part-3-the-dwindling-melody.md,0.0,done
18-chapter-14.md,10.8,done
19-chapter-15.md,11.5,done
20-chapter-16.md,10.1,done
21-part-4-the-end-of-the-song.md,0.0,done
22-chapter-17.md,5.7,done
23-chapter-18.md,11.8,done
24-chapter-19.md,11.7,done
25-chapter-20.md,16.1,done
26-chapter-21.md,17.4,done
