file,size_kb,status
00-part-1-the-coming.md,0.0,todo
01-chapter-01.md,25.0,todo
02-chapter-02.md,19.1,todo
03-chapter-03.md,8.5,todo
04-chapter-04.md,9.1,todo
05-chapter-05.md,17.1,todo
06-chapter-06.md,22.2,todo
07-chapter-07.md,9.7,todo
08-part-2-the-house-of-eyes.md,0.0,todo
09-chapter-08.md,27.0,todo
10-chapter-09.md,13.6,todo
11-chapter-10.md,22.5,todo
12-chapter-11.md,18.7,todo
13-chapter-12.md,16.1,todo
14-chapter-13.md,20.8,todo
15-chapter-14.md,44.1,todo
16-chapter-15.md,19.5,todo
17-chapter-16.md,20.5,todo
18-part-3-the-king-moves.md,0.0,todo
19-chapter-17.md,12.9,todo
20-chapter-18.md,18.4,todo
21-chapter-19.md,32.0,todo
22-chapter-20.md,33.6,todo
